2026-03-15 11:49:50.525 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:50.525 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:50.525 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:50.525 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:50.850 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:49:50.851 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region DEMO: Failed to connect to any WebSocket endpoint
2026-03-15 11:49:50.851 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to DEMO: Failed to connect to any WebSocket endpoint
2026-03-15 11:49:50.851 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 1.80 seconds before next reconnect attempt
2026-03-15 11:49:52.654 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: LIVE with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:49:52.655 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:49:53.106 | INFO     | api_quotex.websocket_client:connect:190 - Connected to LIVE region successfully
2026-03-15 11:49:53.106 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:53.106 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:53.106 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:53.106 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:53.396 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:49:53.397 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region LIVE: Failed to connect to any WebSocket endpoint
2026-03-15 11:49:53.397 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to LIVE: Failed to connect to any WebSocket endpoint
2026-03-15 11:49:53.397 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 3.24 seconds before next reconnect attempt
2026-03-15 11:49:56.644 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any region after 2 attempts (Code: None)
2026-03-15 11:49:56.645 | ERROR    | api_quotex.client:connect:195 - Connection failed: Failed to connect to any region after 2 attempts
2026-03-15 11:49:56.645 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Connection failed: Failed to connect to any region after 2 attempts
2026-03-15 11:50:35.503 | INFO     | api_quotex.config:_load_config:103 - Configuration loaded from config.json
2026-03-15 11:50:35.520 | INFO     | api_quotex.config:_load_session:139 - Session data loaded from session.json
2026-03-15 11:50:35.521 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-03-15 11:50:35.669 | INFO     | api_quotex.login:get_ssid:285 - Checking existing saved session...
2026-03-15 11:50:35.676 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:50:36.009 | INFO     | api_quotex.websocket_client:connect:190 - Connected to LIVE region successfully
2026-03-15 11:50:36.009 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'open'
2026-03-15 11:50:36.009 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'open'
2026-03-15 11:50:36.010 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'open'
2026-03-15 11:50:36.010 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'open'
2026-03-15 11:50:36.206 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:50:36.213 | WARNING  | api_quotex.login:validate_ssid:128 - SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
